imagen_id,folder_real,prediccion_llm,descripcion_sintomas_censurada,vecino_1,vecino_2,vecino_3,metadata_vecino_1,metadata_vecino_2,metadata_vecino_3,justificacion_final_llm
mn_14.jpg,manganese,healthy,"The leaf displays a gradient of green shades, with smooth texture, prominent veins, and a slight shine, transitioning to a lighter yellow-green at the edges.","Seven distinct leaves, aligned in an organic spectrum of green shades."""",,","Seven distinct leaves, aligned in an organic spectrum of green shades."""",,","Seven distinct leaves, aligned in an organic spectrum of green shades."""",,",7,7,7,"All descriptions indicate distinct, healthy leaves without any signs of damage or stress."
mn_12.jpg,manganese,healthy,"The leaf is bright green with smooth, glossy texture, featuring prominent veins and a slight curve at the tip.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
mn_9.jpg,manganese,healthy,"The leaf is bright green with smooth texture, featuring brown dry edges and irregular dark spots scattered across its surface.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
mn_3.jpg,manganese,healthy,"The leaf is bright green with smooth, elongated shapes, featuring prominent veins and subtle variations in color, creating a textured appearance.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
mn_23.jpg,manganese,healthy,"The leaf is bright green with smooth, elongated shapes and prominent parallel veins. Edges are slightly wavy, with a few small brown spots.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
mn_20.jpg,manganese,healthy,"The leaf is a vibrant green with smooth, glossy texture, featuring subtle light reflections and a slight curve along the edges.","Seven distinct leaves, aligned in an organic spectrum of green shades."""",,","Seven distinct leaves, aligned in an organic spectrum of green shades."""",,","Seven distinct leaves, aligned in an organic spectrum of green shades."""",,",7,7,7,"All descriptions indicate vibrant, distinct leaves without any signs of damage or stress."
mn_21.jpg,manganese,healthy,"The leaf is bright green with smooth texture, featuring a prominent central vein and slight undulations along the edges.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions unanimously indicate the leaf is perfectly healthy and free from any damage.
mn_18.jpg,manganese,healthy,"The leaf is bright yellow with smooth, slightly glossy texture, featuring prominent veins and a gently curved shape.","One single leaf depicted in vivid detail, emphasizing its singular beauty."""",,","One single leaf depicted in vivid detail, emphasizing its singular beauty."""",,","One single leaf depicted in vivid detail, emphasizing its singular beauty."""",,",1,1,1,All descriptions emphasize singular beauty without any mention of abnormalities or deficiencies.
mn_1.jpg,manganese,healthy,"The leaf displays a gradient of bright green to yellow, with smooth, glossy textures and prominent, parallel veins running along its length.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
mn_2.jpg,manganese,healthy,"The leaf is bright green with smooth, elongated shapes and prominent parallel veins. There are subtle dark spots and a slight sheen on the surface.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
k_105.jpg,potassium,healthy,"The leaf is predominantly green with a smooth texture, featuring a central vein and dark brown edges. Some areas show lighter green tones.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions unanimously indicate the leaf is perfectly healthy and free from any damage.
k_292.jpg,potassium,healthy,"The leaf displays bright green with yellowish edges, smooth texture, and a brown, dry area at the tip.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any abnormalities.
k_56.jpg,potassium,manganese,"The leaf is predominantly green with yellowish-brown edges and scattered dark brown spots, featuring prominent parallel veins and a smooth texture.","Leaf exhibiting classic symptoms of Rust, with pustules that are orange or brown in color."""",,","Leaf exhibiting classic symptoms of Rust, with pustules that are orange or brown in color."""",,","Leaf exhibiting classic symptoms of Rust, with pustules that are orange or brown in color."""",,",rust,rust,rust,"Symptoms of rust indicate potential nutrient deficiency, likely manganese."
k_344.jpg,potassium,healthy,"The leaf is primarily green with varying shades, featuring smooth, parallel veins and small dark spots scattered across the surface.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
k_16.jpg,potassium,potassium,"The leaf is predominantly green with yellowish spots and brown, dry edges. It has a smooth texture and prominent vein patterns.","Leaf exhibiting classic symptoms of Rust, with pustules that are orange or brown in color."""",,","Leaf exhibiting classic symptoms of Rust, with pustules that are orange or brown in color."""",,","Leaf exhibiting classic symptoms of Rust, with pustules that are orange or brown in color."""",,",rust,rust,rust,Symptoms of rust indicate potential potassium deficiency due to browning and necrosis.
k_279.jpg,potassium,manganese,"The leaf displays deep green colors with yellowish-brown edges, prominent ribbing, and irregular brown spots along the margins.","Leaf showing classic Rust symptoms, with orange-red pustules scattered across the surface."""",,","Leaf showing classic Rust symptoms, with orange-red pustules scattered across the surface."""",,","Leaf showing classic Rust symptoms, with orange-red pustules scattered across the surface."""",,",rust,rust,rust,"Rust symptoms indicate nutrient deficiency, likely linked to manganese."
k_357.jpg,potassium,healthy,"The leaf is predominantly green with a smooth texture, featuring brown patches and irregular dark spots along the edges.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
k_221.jpg,potassium,healthy,"The leaf displays deep green hues with lighter green veins, smooth texture, and irregular brown patches along the edges.","Seven distinct leaves, aligned in an organic spectrum of green shades."""",,","Seven distinct leaves, aligned in an organic spectrum of green shades."""",,","Seven distinct leaves, aligned in an organic spectrum of green shades."""",,",7,7,7,"All descriptions indicate vibrant, distinct leaves without any signs of damage or stress."
k_286.jpg,potassium,healthy,"The leaf displays vibrant green areas, with large brown patches and yellow spots along the edges, creating a textured and uneven surface.","A multitude of leaves, showcasing a thriving example of biodiversity and plant health."""",,","A multitude of leaves, showcasing a thriving example of biodiversity and plant health."""",,","A multitude of leaves, showcasing a thriving example of biodiversity and plant health."""",,",9+,9+,9+,All context indicates thriving biodiversity and plant health without any abnormalities mentioned.
k_41.jpg,potassium,healthy,"The leaf is predominantly green with yellow spots and brown edges, featuring a smooth texture and prominent veins running parallel.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
ca_262.jpg,calcium,healthy,"The leaf is a vibrant green with smooth, wavy edges and a prominent central vein. It has a glossy texture and subtle variations in shade.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
ca_118.jpg,calcium,manganese,"A large green leaf with smooth texture, prominent veins, and a slight curve, featuring a uniform bright green color with subtle variations in shade.",A plant leaf exhibiting the darkening veins associated with phosphorus deficiency.,A plant leaf exhibiting the darkening veins associated with phosphorus deficiency.,A plant leaf exhibiting the darkening veins associated with phosphorus deficiency.,phosphorus,phosphorus,phosphorus,Darkening veins indicate a manganese deficiency in the plant leaf.
ca_15.jpg,calcium,healthy,"The leaf is bright green with smooth, elongated shapes, featuring parallel veins and a slightly glossy texture. No visible spots or irregularities are present.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
ca_74.jpg,calcium,healthy,"The leaf is bright green with a smooth texture, featuring a prominent central vein and slightly wavy edges.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
ca_114.jpg,calcium,manganese,"The leaf is green with smooth texture, featuring a prominent central vein, slight folds, and small brown spots near the edges.","Leaf with typical signs of Scab, featuring raised, crusty lesions."""",,","Leaf with typical signs of Scab, featuring raised, crusty lesions."""",,","Leaf with typical signs of Scab, featuring raised, crusty lesions."""",,",scab,scab,scab,"Symptoms of scab indicate nutrient deficiency, likely related to manganese."
ca_193.jpg,calcium,healthy,"The leaf is a vibrant green with smooth, glossy surfaces and prominent parallel veins. There are small, dark spots scattered across the leaf.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
ca_631.jpg,calcium,healthy,"The leaf is bright green with smooth, wavy edges and prominent parallel veins. It has a glossy texture and a slight curve.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
ca_329.jpg,calcium,healthy,"The leaf displays a gradient of vibrant green shades, smooth texture, and a few small white spots, with a shadow creating a wavy pattern.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
ca_476.jpg,calcium,potassium,"The leaf is bright green with smooth, glossy texture. It has brown, dry edges and irregular, light yellowish spots along the surface.","Leaf exhibiting classic symptoms of Rust, with pustules that are orange or brown in color."""",,","Leaf exhibiting classic symptoms of Rust, with pustules that are orange or brown in color."""",,","Leaf exhibiting classic symptoms of Rust, with pustules that are orange or brown in color."""",,",rust,rust,rust,Symptoms of rust indicate potential potassium deficiency due to browning and necrosis.
ca_653.jpg,calcium,healthy,"The leaf is bright green with smooth, glossy surfaces, featuring prominent parallel veins and a slight curl at the edges.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
zn_532.jpg,zinc,healthy,"The leaf is bright green with smooth texture, featuring a prominent central vein and slightly wavy edges. No visible spots or patterns are present.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
zn_615.jpg,zinc,healthy,"The leaf is predominantly bright yellow with smooth, glossy surfaces and faint, wavy lines running along its length.","One single leaf depicted in vivid detail, emphasizing its singular beauty."""",,","One single leaf depicted in vivid detail, emphasizing its singular beauty."""",,","One single leaf depicted in vivid detail, emphasizing its singular beauty."""",,",1,1,1,All descriptions emphasize singular beauty without any mention of abnormalities or deficiencies.
zn_649.jpg,zinc,healthy,"The leaf is bright green with smooth, glossy texture, featuring prominent parallel veins and a slightly wavy edge.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
zn_325.jpg,zinc,healthy,"The leaf is bright green with smooth, elongated shapes, featuring parallel veins and a slight yellowish edge along one side.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
zn_85.jpg,zinc,healthy,"The leaf is bright green with smooth texture, featuring prominent veins and a slightly wavy edge. No spots or discolorations are visible.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
zn_454.jpg,zinc,healthy,"The leaf is bright green with smooth, glossy texture, featuring prominent veins and a slight curve at the edges.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
zn_326.jpg,zinc,healthy,"The leaf is predominantly bright green with smooth, elongated shapes, featuring faint parallel lines and small dark brown spots near the edges.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
zn_490.jpg,zinc,healthy,"The leaf is predominantly green with smooth texture, featuring lighter green stripes and a prominent central vein. Edges are slightly wavy.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
zn_673.jpg,zinc,healthy,"The leaf is a vibrant green with smooth, glossy texture, featuring prominent veins and a slightly wavy edge.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any abnormalities.
zn_354.jpg,zinc,manganese,"The leaf is bright green with smooth texture, prominent veins, and a slightly glossy surface. There are small water droplets scattered across it.",A plant leaf exhibiting the darkening veins associated with phosphorus deficiency.,A plant leaf exhibiting the darkening veins associated with phosphorus deficiency.,A plant leaf exhibiting the darkening veins associated with phosphorus deficiency.,phosphorus,phosphorus,phosphorus,Darkening veins indicate a manganese deficiency in the plant leaf.
h_524.jpg,healthy,healthy,"The leaf is bright green with darker green streaks and patches, featuring a smooth texture and a prominent central vein.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
h_1119.jpg,healthy,healthy,"The leaf is a vibrant green with smooth, elongated shapes, featuring parallel ridges and a slight sheen.","Seven distinct leaves, aligned in an organic spectrum of green shades."""",,","Seven distinct leaves, aligned in an organic spectrum of green shades."""",,","Seven distinct leaves, aligned in an organic spectrum of green shades."""",,",7,7,7,"All descriptions indicate vibrant, distinct leaves without any signs of damage or stress."
h_5.jpg,healthy,healthy,"The leaf is a deep green with smooth, elongated shapes, featuring prominent parallel veins and a slightly glossy texture.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions unanimously indicate the leaf is perfectly healthy and free from any damage.
h_89.jpg,healthy,healthy,"The leaf is primarily green with a smooth texture, featuring a jagged edge and a lighter green area near the center.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
